Latitude,Longitude,Class,Year,March_NDVI,April_NDVI
31.71535647,74.00570682,Other,2023,0.085,0.072
31.71482393,74.00615925,Other,2023,0.265,0.214
31.7159382,74.00807843,Other,2023,0.724,0.585
31.71603631,74.00652544,Other,2023,0.68,0.566
31.71623254,74.00610433,Other,2023,0.202,0.207
31.71666605,74.00617407,Other,2023,0.151,0.176
31.71766997,74.00769756,Other,2023,0.516,0.122
31.71661814,74.0075192,Other,2023,0.158,0.644
31.71685543,74.00816025,Other,2023,0.413,0.138
31.71629282,74.0088581,Other,2023,0.683,0.446
31.71555663,74.00941684,Other,2023,0.755,0.58
31.71656056,74.01114418,Other,2023,0.829,0.427
31.71542575,74.01224237,Other,2023,0.232,0.243
31.71470474,74.01141625,Other,2023,0.762,0.54
31.71726476,74.01042383,Other,2023,0.51,0.76
31.71447841,74.01293962,Other,2023,0.78,0.814
31.71510816,74.01287524,Other,2023,0.763,0.771
31.71612122,74.01451675,Other,2023,0.791,0.43
31.71603452,74.01316492,Other,2023,0.482,0.753
31.71765904,74.01269285,Other,2023,0.763,0.537
31.71874509,74.00848715,Other,2023,0.73,0.72
31.71984025,74.00952785,Other,2023,0.731,0.492
31.71928354,74.01367991,Other,2023,0.715,0.516
31.7206251,74.01399104,Other,2023,0.363,0.211
31.72055209,74.01342241,Other,2023,0.498,0.388
31.719895,74.01024668,Other,2023,0.733,0.542
31.7222678,74.01354043,Other,2023,0.804,0.56
31.72217048,74.01497809,Other,2023,0.824,0.771
31.72272717,74.01513903,Other,2023,0.822,0.644
31.72301007,74.01726334,Other,2023,0.818,0.486
31.72368539,74.01679127,Other,2023,0.828,0.681
31.72269979,74.01086895,Other,2023,0.7,0.763
31.72388616,74.01111571,Other,2023,0.742,0.683
31.72318346,74.00731771,Other,2023,0.747,0.45
31.72308308,74.00797216,Other,2023,0.478,0.372
31.72303745,74.00872318,Other,2023,0.197,0.407
31.72393179,74.00683491,Other,2023,0.77,0.698
31.72513639,74.01056854,Other,2023,0.563,0.788
31.72501776,74.00763957,Other,2023,0.203,0.503
31.72516377,74.00691001,Other,2023,0.769,0.664
31.72593945,74.01001064,Other,2023,0.795,0.72
31.72582995,74.00639503,Other,2023,0.744,0.524
31.72643224,74.00650231,Other,2023,0.782,0.612
31.72614022,74.00860517,Other,2023,0.759,0.55
31.72672426,74.00872318,Other,2023,0.684,0.561
31.72650524,74.01007502,Other,2023,0.712,0.783
31.72539191,74.00491445,Other,2023,0.779,0.441
31.7265965,74.00931327,Other,2023,0.747,0.677
31.72324278,74.00641112,Other,2023,0.054,0.076
31.72153724,74.00652824,Other,2023,0.141,0.124
31.71314893,74.01911542,Other,2023,0.579,0.23
31.71342274,74.01832149,Other,2023,0.81,0.621
31.71894668,74.03521989,Other,2023,0.506,0.228
31.74891959,73.96856339,Other,2023,0.692,0.458
31.74766967,73.96827371,Other,2023,0.242,0.611
31.74811672,73.96978647,Other,2023,0.803,0.453
31.74865097,73.97066487,Other,2023,0.479,0.692
31.74564932,73.97005333,Other,2023,0.546,0.103
