system:index,.geo
0,"{""type"":""Point"",""coordinates"":[73.66928700359885,32.066044717517]}"
1,"{""type"":""Point"",""coordinates"":[73.6670610571343,32.066027223394]}"
2,"{""type"":""Point"",""coordinates"":[73.67345544342581,32.06417243431769]}"
3,"{""type"":""Point"",""coordinates"":[73.67620202545706,32.06548170109968]}"
4,"{""type"":""Point"",""coordinates"":[73.67886277679983,32.06744556613093]}"
5,"{""type"":""Point"",""coordinates"":[73.67894860748831,32.06959122230762]}"
6,"{""type"":""Point"",""coordinates"":[73.68255349640432,32.06988215486241]}"
7,"{""type"":""Point"",""coordinates"":[73.68675920013968,32.06937302228406]}"
8,"{""type"":""Point"",""coordinates"":[73.69006368164602,32.06751830106297]}"
9,"{""type"":""Point"",""coordinates"":[73.69032117371145,32.06566354222599]}"
10,"{""type"":""Point"",""coordinates"":[73.69109364990774,32.06297225663673]}"
11,"{""type"":""Point"",""coordinates"":[73.69006368164602,32.060680964607]}"
12,"{""type"":""Point"",""coordinates"":[73.68469926361624,32.060899185368335]}"
13,"{""type"":""Point"",""coordinates"":[73.68405553345266,32.0624994550446]}"
14,"{""type"":""Point"",""coordinates"":[73.68122312073294,32.063117733557995]}"
15,"{""type"":""Point"",""coordinates"":[73.67993566040579,32.06169932370593]}"
16,"{""type"":""Point"",""coordinates"":[73.67564412598196,32.060826445172395]}"
17,"{""type"":""Point"",""coordinates"":[73.67354127411429,32.060680964607]}"
18,"{""type"":""Point"",""coordinates"":[73.67126676086966,32.05878969620295]}"
19,"{""type"":""Point"",""coordinates"":[73.67148133759085,32.056716530147995]}"
20,"{""type"":""Point"",""coordinates"":[73.69186612610403,32.0593716291072]}"
21,"{""type"":""Point"",""coordinates"":[73.69521352295462,32.06326321024791]}"
22,"{""type"":""Point"",""coordinates"":[73.69559976105276,32.067772872869526]}"
23,"{""type"":""Point"",""coordinates"":[73.69868966583792,32.070100353671094]}"
24,"{""type"":""Point"",""coordinates"":[73.7000200415093,32.06340868670644]}"
25,"{""type"":""Point"",""coordinates"":[73.685557570501,32.058171388436186]}"
26,"{""type"":""Point"",""coordinates"":[73.67492080799106,32.07323952911903]}"
27,"{""type"":""Point"",""coordinates"":[73.68341804615024,32.07227584687025]}"
28,"{""type"":""Point"",""coordinates"":[73.69073511234286,32.072603136320126]}"
29,"{""type"":""Point"",""coordinates"":[73.67401958576205,32.072712232543104]}"
30,"{""type"":""Point"",""coordinates"":[73.67320419422154,32.0729304245985]}"
31,"{""type"":""Point"",""coordinates"":[73.70234919152843,32.07953795217304]}"
32,"{""type"":""Point"",""coordinates"":[73.70048237405406,32.079156143330614]}"
33,"{""type"":""Point"",""coordinates"":[73.70043945870982,32.07799252559379]}"
34,"{""type"":""Point"",""coordinates"":[73.70498848519908,32.07453794818087]}"
35,"{""type"":""Point"",""coordinates"":[73.70681238732921,32.075374331530845]}"
36,"{""type"":""Point"",""coordinates"":[73.7069196756898,32.07371973967398]}"
37,"{""type"":""Point"",""coordinates"":[73.70621248389756,32.13927040314653]}"
38,"{""type"":""Point"",""coordinates"":[73.70335861350571,32.13930674202902]}"
39,"{""type"":""Point"",""coordinates"":[73.7040238013414,32.140796623743974]}"
40,"{""type"":""Point"",""coordinates"":[73.70616956855332,32.14083296201832]}"
41,"{""type"":""Point"",""coordinates"":[73.70486065055405,32.13828924784611]}"
42,"{""type"":""Point"",""coordinates"":[73.70722099448716,32.13805304221586]}"
43,"{""type"":""Point"",""coordinates"":[73.70885177756821,32.139361250325614]}"
44,"{""type"":""Point"",""coordinates"":[73.70874448920762,32.141032822268336]}"
45,"{""type"":""Point"",""coordinates"":[73.71005340720689,32.13768964774401]}"
46,"{""type"":""Point"",""coordinates"":[73.69985028411423,32.139433928003704]}"
47,"{""type"":""Point"",""coordinates"":[73.75187187141373,32.079868102852295]}"
48,"{""type"":""Point"",""coordinates"":[73.75255851692154,32.07772268783843]}"
49,"{""type"":""Point"",""coordinates"":[73.71196060127212,32.0744135591817]}"
