system:index,.geo
0,"{""type"":""Point"",""coordinates"":[73.55687898317966,32.09722029290541]}"
1,"{""type"":""Point"",""coordinates"":[73.55617087999973,32.097214385031265]}"
2,"{""type"":""Point"",""coordinates"":[73.55476540247592,32.09710759028349]}"
3,"{""type"":""Point"",""coordinates"":[73.55551105658208,32.09658043140136]}"
4,"{""type"":""Point"",""coordinates"":[73.5562030665079,32.0966395097033]}"
5,"{""type"":""Point"",""coordinates"":[73.55692726294193,32.09663042073626]}"
6,"{""type"":""Point"",""coordinates"":[73.5547439448038,32.096394107275714]}"
7,"{""type"":""Point"",""coordinates"":[73.55406802813205,32.097125768121714]}"
8,"{""type"":""Point"",""coordinates"":[73.55763536612186,32.09715303487229]}"
9,"{""type"":""Point"",""coordinates"":[73.55830591837558,32.09722120171306]}"
10,"{""type"":""Point"",""coordinates"":[73.5590301148096,32.09725301288803]}"
11,"{""type"":""Point"",""coordinates"":[73.55971676031741,32.097307546305046]}"
12,"{""type"":""Point"",""coordinates"":[73.56039267698917,32.097362079689496]}"
13,"{""type"":""Point"",""coordinates"":[73.5611007801691,32.097439335261775]}"
14,"{""type"":""Point"",""coordinates"":[73.56118661085758,32.09687127805736]}"
15,"{""type"":""Point"",""coordinates"":[73.56046777884158,32.096866733585486]}"
16,"{""type"":""Point"",""coordinates"":[73.5596953026453,32.096812199905294]}"
17,"{""type"":""Point"",""coordinates"":[73.55899792830142,32.09652135306121]}"
18,"{""type"":""Point"",""coordinates"":[73.55836492697391,32.096371384795376]}"
19,"{""type"":""Point"",""coordinates"":[73.55763000170383,32.096385018284266]}"
20,"{""type"":""Point"",""coordinates"":[73.55693262735996,32.09600782434117]}"
21,"{""type"":""Point"",""coordinates"":[73.55625671068822,32.095989646280465]}"
22,"{""type"":""Point"",""coordinates"":[73.55551105658208,32.095976012732585]}"
23,"{""type"":""Point"",""coordinates"":[73.5612080685297,32.09626231681102]}"
24,"{""type"":""Point"",""coordinates"":[73.56048387209569,32.0962350497946]}"
25,"{""type"":""Point"",""coordinates"":[73.55892263789072,32.097797657509055]}"
26,"{""type"":""Point"",""coordinates"":[73.55828427214517,32.09788400155615]}"
